id,name,abbrev,creation_time,mod_time,
4,Afghanistan,AFG,NULL,NULL,
248,Åland Islands,ALA,NULL,NULL,
8,Albania,ALB,NULL,NULL,
12,Algeria,DZA,NULL,NULL,
16,American Samoa,ASM,NULL,NULL,
20,Andorra,AND,NULL,NULL,
24,Angola,AGO,NULL,NULL,
660,Anguilla,AIA,NULL,NULL,
10,Antarctica,ATA,NULL,NULL,
28,Antigua and Barbuda,ATG,NULL,NULL,
32,Argentina,ARG,NULL,NULL,
51,Armenia,ARM,NULL,NULL,
533,Aruba,ABW,NULL,NULL,
36,Australia,AUS,NULL,NULL,
40,Austria,AUT,NULL,NULL,
31,Azerbaijan,AZE,NULL,NULL,
44,Bahamas,BHS,NULL,NULL,
48,Bahrain,BHR,NULL,NULL,
50,Bangladesh,BGD,NULL,NULL,
52,Barbados,BRB,NULL,NULL,
112,Belarus,BLR,NULL,NULL,
56,Belgium,BEL,NULL,NULL,
84,Belize,BLZ,NULL,NULL,
204,Benin,BEN,NULL,NULL,
60,Bermuda,BMU,NULL,NULL,
64,Bhutan,BTN,NULL,NULL,
68,Bolivia (Plurinational State of),BOL,NULL,NULL,
535,Bonaire, Sint Eustatius and Saba,BES,NULL,NULL
70,Bosnia and Herzegovina,BIH,NULL,NULL,
72,Botswana,BWA,NULL,NULL,
74,Bouvet Island,BVT,NULL,NULL,
76,Brazil,BRA,NULL,NULL,
86,British Indian Ocean Territory,IOT,NULL,NULL,
96,Brunei Darussalam,BRN,NULL,NULL,
100,Bulgaria,BGR,NULL,NULL,
854,Burkina Faso,BFA,NULL,NULL,
108,Burundi,BDI,NULL,NULL,
132,Cabo Verde,CPV,NULL,NULL,
116,Cambodia,KHM,NULL,NULL,
120,Cameroon,CMR,NULL,NULL,
124,Canada,CAN,NULL,NULL,
136,Cayman Islands,CYM,NULL,NULL,
140,Central African Republic,CAF,NULL,NULL,
148,Chad,TCD,NULL,NULL,
152,Chile,CHL,NULL,NULL,
156,China,CHN,NULL,NULL,
162,Christmas Island,CXR,NULL,NULL,
166,Cocos (Keeling) Islands,CCK,NULL,NULL,
170,Colombia,COL,NULL,NULL,
174,Comoros,COM,NULL,NULL,
178,Congo,COG,NULL,NULL,
180,Congo (Democratic Republic of the),COD,NULL,NULL,
184,Cook Islands,COK,NULL,NULL,
188,Costa Rica,CRI,NULL,NULL,
384,Côte d'Ivoire,CIV,NULL,NULL,
191,Croatia,HRV,NULL,NULL,
192,Cuba,CUB,NULL,NULL,
531,Curaçao,CUW,NULL,NULL,
196,Cyprus,CYP,NULL,NULL,
203,Czech Republic,CZE,NULL,NULL,
208,Denmark,DNK,NULL,NULL,
262,Djibouti,DJI,NULL,NULL,
212,Dominica,DMA,NULL,NULL,
214,Dominican Republic,DOM,NULL,NULL,
218,Ecuador,ECU,NULL,NULL,
818,Egypt,EGY,NULL,NULL,
222,El Salvador,SLV,NULL,NULL,
226,Equatorial Guinea,GNQ,NULL,NULL,
232,Eritrea,ERI,NULL,NULL,
233,Estonia,EST,NULL,NULL,
231,Ethiopia,ETH,NULL,NULL,
238,Falkland Islands (Malvinas),FLK,NULL,NULL,
234,Faroe Islands,FRO,NULL,NULL,
242,Fiji,FJI,NULL,NULL,
246,Finland,FIN,NULL,NULL,
250,France,FRA,NULL,NULL,
254,French Guiana,GUF,NULL,NULL,
258,French Polynesia,PYF,NULL,NULL,
260,French Southern Territories,ATF,NULL,NULL,
266,Gabon,GAB,NULL,NULL,
270,Gambia,GMB,NULL,NULL,
268,Georgia,GEO,NULL,NULL,
276,Germany,DEU,NULL,NULL,
288,Ghana,GHA,NULL,NULL,
292,Gibraltar,GIB,NULL,NULL,
300,Greece,GRC,NULL,NULL,
304,Greenland,GRL,NULL,NULL,
308,Grenada,GRD,NULL,NULL,
312,Guadeloupe,GLP,NULL,NULL,
316,Guam,GUM,NULL,NULL,
320,Guatemala,GTM,NULL,NULL,
831,Guernsey,GGY,NULL,NULL,
324,Guinea,GIN,NULL,NULL,
624,Guinea-Bissau,GNB,NULL,NULL,
328,Guyana,GUY,NULL,NULL,
332,Haiti,HTI,NULL,NULL,
334,Heard Island and McDonald Islands,HMD,NULL,NULL,
